"","intercept","gop","dwnom"
"administr.tri",-10.6234134737769,0,-1.65523267568117
"iraq.don",-9.02127690216083,-2.67914074086417,2.48864827813116
"coupl.month",-9.46465923840819,-0.358248411116721,0
"peopl.sick",-10.3440178074037,0,-0.933775263976092
"ll.talk",-10.0229583597377,-2.27643172086917,2.67202134286147
"congress.amend",-10.9241280813242,0.103762017915581,0
"emerg.manag",-10.1224418299958,1.33891670355523,-2.22557282270985
"moment.american",-11.8286301502127,1.96222497012912,-2.36612814002767
"famili.health",-10.0915811748145,0,-0.459498808164823
"rapid.increas",-10.6461907103983,0,0
"protect.basic",-10.9360857009064,0,0.230844900059514
"focus.prevent",-10.7638343399731,0,-0.333785915870016
"god.forbid",-10.4445828511107,-0.285990296466135,0
"start.program",-8.40082663417928,-0.857394410181492,0.612100949391364
"home.school",-10.836972842762,0,0.306409874188379
"congression.hear",-10.7868151384094,0.292669790872002,0
"law.effect",-10.6106716918281,0,0.230912778700919
"establish.govern",-10.9623521661691,0,0.40956319590033
"agricultur.produc",-10.5519334960611,0,0.379804672229725
"congress.step",-9.39826658995147,-0.320606472565604,0
"difficult.task",-10.2393949664071,-2.39890049163781,2.48432129099716
"govern.function",-10.7721900933802,-0.160591290044402,0
"wrote.letter",-9.56682851122066,-1.07937254408143,1.31061288733878
"cost.busi",-10.140015724503,0,0.27915562056137
"action.plan",-10.4007534440681,0.923529369262246,-1.09295522126547
"time.worker",-11.6071493029792,2.00912815756758,-3.1573271879718
"expand.american",-10.7151251656367,-0.307926197038681,0
"law.degre",-10.4029158066181,0.172938656738977,0
"budget.balanc",-8.13335822401887,-4.86999322270853,4.8158143000814
"compani.offer",-11.1717370439396,0,0.62315043526901
"cost.repeal",-18.0119966172474,0,10.9393007903977
"own.troop",-10.946811995715,0,-0.364302943686859
"associ.remark",-10.6652232158134,0.0423574266464413,0
"remain.time",-10.6864738039446,0,0.524840279512584
"time.war",-9.08495489978211,0,0
"provid.tool",-9.52230066066661,-1.62303559469854,1.61419077428607
"limit.bill",-10.8591386282563,0,0.443801140725054
"compani.compani",-9.82874581316081,0,0
"run.offic",-10.805255405028,0,0
"price.barrel",-9.5749349265515,0.236373356496937,0
"lane.evan",-12.8484117921536,3.26746747780589,-5.49587843622586
"diseas.manag",-10.882020607428,0,0.833765240087805
"west.virginian",-10.3340416581257,-0.307158552347658,0
"million.program",-10.6095209958298,0,-0.324092844586835
"american.hope",-10.6159347846645,-0.00285839355528186,0
"unit.encourag",-11.0639711794708,0.0596146866130573,0
"cosponsor.senat",-10.22729174689,2.4355963995306,-3.04405733066325
"digniti.respect",-11.1198382002911,0,-0.265927730801364
"water.power",-11.4502647814476,0,1.4703777728712
"outreach.program",-10.7004903569208,0.289248546777314,0
"red.ribbon",-16.1008582837645,9.72838909303781,-6.42814867024978
"payment.month",-10.9536754101463,0,0
"june.gentleman",-9.80281805887274,-4.07630085342875,4.40239744556107
"abl.spend",-11.1321850669232,0.626349676079221,0
"peopl.struggl",-10.0416787981496,0,-0.939631337110382
"day.war",-10.5868359242192,0,-0.801177603135152
"person.person",-10.2005140336358,-1.49928095903236,1.57798408139148
"senat.leadership",-11.620602026754,3.15407483018938,-2.57947891103633
"armi.nation",-9.14953034080137,-1.25579386511896,1.52406839612336
"oppos.control",-7.47834919631421,-3.94825540238875,3.94952901741181
"oversight.board",-10.837180566394,2.00354421844985,-2.0233573297271
"intellig.program",-11.0289231702083,-0.018409712122136,0
"intern.law",-9.77793052556389,-0.946424767538454,0
"conserv.district",-10.1480412359311,-2.10425572240805,2.29863925973143
"bill.month",-10.3661307849051,0.615953189479071,0
"victim.hurrican",-10.1411348229761,-1.48276027680161,0
"improv.communic",-11.1774300061583,0,-0.979189185199733
"thank.time",-10.5768020235058,0,0.175318067120548
"unstabl.countri",-12.1219883529105,1.57532617157356,0
"oil.consum",-10.6172031735251,0,0
"support.develop",-10.3816590649612,0,-0.147422795163732
"broad.support",-9.8158424083249,0,0
"oil.develop",-11.2937857753447,0.648253842485462,0
"tri.micromanag",-11.2271328334794,0,1.23128251184473
"price.low",-10.7900875771957,0,0.43051216854242
"histori.veteran",-9.33484708219563,-5.56808761433161,3.5077441795839
"action.feder",-10.9924249143537,0,-0.486723729262257
"tri.kill",-10.9882841954438,0.869070473416127,0
"senat.robert",-10.4844648290526,0.292535483449986,0
"futur.depend",-9.95319968140594,-2.7724098886095,2.28837865709889
"benefit.bill",-10.2202311308579,1.09976873133807,-1.14707127968582
"difficult.decis",-10.1220522244796,0,-0.179707964470127
"district.iowa",-9.59379133398601,-3.91880780184987,4.22320246485226
"presid.speak",-9.65134663046303,0.00131449275665382,0
"congress.attempt",-11.2052258860842,0.849742115380969,0
"brave.women",-7.54314964447563,-1.59806128816509,1.19431941218148
"bill.overdu",-10.5492180036569,0,-0.70074609222021
