"","intercept","gop","dwnom"
"centrifug.enrich",-10.1891098312859,0,-0.357222677210202
"justic.victim",-8.42822603395392,0,1.12146999215648
"ultim.sacrific",-9.28637499279988,0,0.254096157747315
"am.honor",-8.32295159321913,0,0.203816230254975
"nuclear.ambit",-9.99242466239136,2.11562390487554,-1.72947016256302
"committe.hear",-8.86479094752701,1.02445101936339,-0.681522607100511
"bill.democrat",-8.48561359560948,-2.2363065715036,1.85453068518394
"hook.elementari",-9.90077086885545,0,-1.13349697864306
"current.administr",-9.72838814324844,0,1.13069054556933
"serv.term",-8.68877259512307,-2.31317058648399,1.53249610564991
"iran.pose",-8.89983509263971,-2.73169316136096,1.7631081272239
"make.decis",-9.57537019894103,-1.19715295216813,1.30234492714837
"titl.bill",-8.66313673886265,-0.762284996314368,3.87675374236849
"colleagu.believ",-9.29021120650607,-1.58597006172747,0.879217195939719
"issu.includ",-11.1976767850162,3.54997885888815,-3.24926404116761
"perform.school",-10.3580456875249,2.27578607747305,-2.58623647367833
"nativ.american",-7.58277067767404,-1.26797514405869,0.999552338925398
"time.increas",-9.99183738158955,0,-0.299893685163754
"patient.doctor",-9.44849094893987,-1.29633299523079,1.4792217713239
"nation.act",-7.84171949960443,-6.74646654110662,6.05939417056319
"money.pay",-9.30278561739745,0.768595482132889,0
"support.law",-10.9024848657291,3.28256376471157,-2.80543105852986
"citi.counti",-9.15868400374047,-1.32578656789993,1.76115205071488
"american.innov",-9.86410137566876,0,0.181670168756628
"talk.peopl",-8.58228253963206,0,0.136122739471526
"boston.marathon",-9.12991362862316,-0.998223542113547,1.02217444631353
"moder.muslim",-33.7675189571324,0,28.2972808956068
"protect.consum",-7.71583077383711,-3.08087050032569,1.8729002802027
"violat.law",-8.19672031644392,-1.78851541916208,2.86809563921802
"born.aliv",-9.28974023998752,-3.91539444410175,6.02511917715505
"constitut.congress",-9.65063803308578,-1.45259911582406,2.96049002705536
"children.access",-9.57265688262396,0,-0.157813348280921
"south.carolina",-6.91337440151626,-1.11430667893523,1.47716566023562
"import.oil",-15.3529797776777,12.0062666913022,-13.3009232871209
"time.issu",-9.58771652181868,0.335650590702792,0
"come.feder",-11.5747641683142,3.75257403261205,-3.0559404678807
"republican.join",-10.732562932526,0,-3.93097235163374
"million.refuge",-8.86162696088172,-2.58639273199875,1.41477740231706
"feder.workforc",-8.71555384775896,-2.55013301039668,2.05279353360037
"allow.iran",-9.3775671116905,1.35681589669869,0
"billion.increas",-9.08160474876117,-0.484454645415377,0
"broad.bipartisan",-8.89435823814065,0.785009178342714,0
"allow.congress",-9.39478634649611,0,0.396966127954757
"titl.fund",-13.37688181776,7.83999050630226,-8.70069443013819
"thank.madam",-9.48242489025393,-0.180424544028714,0
"colleg.afford",-9.10143647091327,0,-2.09586055794561
"public.truste",-28.1939218004765,29.6126058404084,-23.3194193327753
"strong.encourag",-10.277508914991,0.742424354295173,0
"deal.nuclear",-10.2483690103572,0,0.452088783940279
"children.live",-8.64670403404714,-0.496459086262154,0
"polici.allow",-9.99436469860649,0.354273289315151,0
"close.say",-8.66134633955247,-3.09171013437396,2.27637244425763
