"","candidate","date","fit.fit","fit.lwr","fit.upr","se.fit","df","residual.scale"
"74","rubio","2-2016",0.418585460540318,0.381128989635147,0.456041931445489,0.0190539654908025,407,0.339630123321459
"75","rubio","12-2015",0.471676225286397,0.429028596098336,0.514323854474458,0.0216946881320224,407,0.339630123321459
"76","kasich","8-2015",0.14052549510444,0.0714328587450726,0.209618131463808,0.0351471635486675,407,0.339630123321459
"77","paul","8-2015",1.0854632979943,0.945258228536139,1.22566836745247,0.0713217900814744,407,0.339630123321459
"78","clinton","2-2016",-0.0494275130743036,-0.0954518255494837,-0.00340320059912344,0.0234123941857781,407,0.339630123321459
"79","christie","12-2015",0.335520078847867,0.289168014536967,0.381872143158767,0.0235791203085664,407,0.339630123321459
"80","sanders","8-2015",-0.695431537747153,-0.776805219197738,-0.614057856296568,0.0413944848713696,407,0.339630123321459
"81","clinton","1-2016",-0.218199852190106,-0.271013634463359,-0.165386069916853,0.0268661718670989,407,0.339630123321459
"82","trump","8-2015",0.462564874410716,0.421004250956927,0.504125497864506,0.0211417324143963,407,0.339630123321459
"83","trump","9-2015",0.188570429822255,0.149455287933188,0.227685571711323,0.0198977251650058,407,0.339630123321459
"84","paul","5-2015",0.632457557822058,0.584192039414859,0.680723076229257,0.0245524871911919,407,0.339630123321459
"85","carson","7-2015",1.18461376555622,1.10300188870284,1.2662256424096,0.0415156539744726,407,0.339630123321459
"86","bush","1-2016",0.547817106369058,0.504209913687423,0.591424299050692,0.0221828144624254,407,0.339630123321459
"87","kasich","10-2015",0.326240673265742,0.28587270328518,0.366608643246304,0.0205350340903899,407,0.339630123321459
"88","trump","2-2016",0.103648873946028,0.0684906007770587,0.138807147114998,0.0178848809695327,407,0.339630123321459
"89","kasich","1-2016",0.399629741129884,0.360842634696322,0.438416847563447,0.0197308547659024,407,0.339630123321459
"90","bush","6-2015",0.416047935970712,0.374592462523896,0.457503409417528,0.0210882430023984,407,0.339630123321459
"91","sanders","5-2016",-0.428984797159895,-0.490934649255029,-0.367034945064762,0.0315136561308566,407,0.339630123321459
"92","paul","4-2015",0.354583561933664,0.314590962318499,0.394576161548829,0.0203440846011372,407,0.339630123321459
"93","paul","9-2015",0.726295330539945,0.670671147232578,0.781919513847312,0.0282958122743571,407,0.339630123321459
"94","rubio","10-2015",0.258186672154308,0.220219537991766,0.296153806316849,0.0193137379639752,407,0.339630123321459
"95","trump","6-2015",0.364426642089564,0.326445080712923,0.402408203466205,0.0193210770333786,407,0.339630123321459
"96","carson","12-2015",2.61108267124781,2.42257649679654,2.79958884569907,0.0958923800347082,407,0.339630123321459
"97","carson","11-2015",0.225535588667382,0.187807310403524,0.263263866931239,0.0191922328691059,407,0.339630123321459
"98","rubio","8-2015",0.319183193683416,0.273666183943848,0.364700203422984,0.0231543311973506,407,0.339630123321459
"99","trump","7-2015",0.609236502294606,0.561574533550515,0.656898471038697,0.0242454637537208,407,0.339630123321459
